frame,throttle,vx,vy,r,up,left,right	
381,5.0000,-68.4800,14.0568,0.2849,1,0,0	
382,5.0000,-67.5837,13.2691,0.2820,1,0,0	
383,5.0000,-66.6975,12.4838,0.2791,1,0,0	
384,5.0000,-65.8212,11.7008,0.2762,1,0,0	
385,5.0000,-64.9550,10.9202,0.2733,1,0,0	
386,5.0000,-64.0987,10.1419,0.2704,1,0,0	
387,5.0000,-63.2524,9.3659,0.2674,1,0,0	
388,5.0000,-62.4159,8.5923,0.2645,1,0,0	
389,5.0000,-61.5892,7.8210,0.2616,1,0,0	
390,5.0000,-60.7723,7.0521,0.2586,1,0,0	
391,5.0000,-59.9651,6.2855,0.2557,1,0,0	
392,5.0000,-59.1676,5.5213,0.2528,1,0,0	
393,5.0000,-58.3796,4.7595,0.2499,1,0,0	
394,5.0000,-57.6011,4.0001,0.2470,1,0,0	
395,5.0000,-56.8321,3.2431,0.2441,1,0,0	
396,5.0000,-56.0725,2.4886,0.2413,1,0,0	
397,5.0000,-55.3221,1.7364,0.2384,1,0,0	
398,5.0000,-54.5809,0.9867,0.2356,1,0,0	
399,5.0000,-53.8489,0.2395,0.2328,1,0,0	
400,5.0000,-53.1259,-0.5053,0.2300,1,0,0	
401,5.0000,-52.4118,-1.2476,0.2273,1,0,0	
402,5.0000,-51.7067,-1.9874,0.2246,1,0,0	
403,5.0000,-51.0103,-2.7247,0.2218,1,0,0	
404,5.0000,-50.3226,-3.4595,0.2192,1,0,0	
405,5.0000,-49.6435,-4.1917,0.2165,1,0,0	
406,5.0000,-48.9729,-4.9214,0.2139,1,0,0	
407,5.0000,-48.3108,-5.6486,0.2112,1,0,0	
408,5.0000,-47.6570,-6.3732,0.2087,1,0,0	
409,5.0000,-47.0115,-7.0952,0.2061,1,0,0	
410,5.0000,-46.3742,-7.8146,0.2036,1,0,0	
411,5.0000,-45.7449,-8.5315,0.2011,1,0,0	
412,5.0000,-45.1236,-9.2457,0.1986,1,0,0	
413,5.0000,-44.5102,-9.9573,0.1961,1,0,0	
414,5.0000,-43.9046,-10.6663,0.1937,1,0,0	
415,5.0000,-43.3068,-11.3727,0.1913,1,0,0	
416,5.0000,-42.7165,-12.0764,0.1889,1,0,0	
417,5.0000,-42.1339,-12.7775,0.1866,1,0,0	
418,5.0000,-41.5586,-13.4760,0.1842,1,0,0	
419,5.0000,-40.9908,-14.1717,0.1819,1,0,0	
420,5.0000,-40.4302,-14.8648,0.1797,1,0,0	
421,5.0000,-39.8769,-15.5553,0.1774,1,0,0	
422,5.0000,-39.3306,-16.2430,0.1752,1,0,0	
423,5.0000,-38.7914,-16.9281,0.1730,1,0,0	
424,5.0000,-38.2591,-17.6105,0.1708,1,0,0	
425,5.0000,-37.7337,-18.2902,0.1687,1,0,0	
426,5.0000,-37.2151,-18.9672,0.1666,1,0,0	
427,5.0000,-36.7032,-19.6415,0.1645,1,0,0	
428,5.0000,-36.1979,-20.3131,0.1624,1,0,0	
429,5.0000,-35.6991,-20.9820,0.1604,1,0,0	
430,5.0000,-35.2068,-21.6482,0.1584,1,0,0	
431,5.0000,-34.7209,-22.3117,0.1564,1,0,0	
432,5.0000,-34.2413,-22.9725,0.1544,1,0,0	
433,5.0000,-33.7679,-23.6305,0.1524,1,0,0	
434,5.0000,-33.3006,-24.2859,0.1505,1,0,0	
435,5.0000,-32.8394,-24.9385,0.1486,1,0,0	
436,5.0000,-32.3842,-25.5884,0.1468,1,0,0	
437,5.0000,-31.9350,-26.2356,0.1449,1,0,0	
438,5.0000,-31.4916,-26.8801,0.1431,1,0,0	
439,5.0000,-31.0539,-27.5219,0.1413,1,0,0	
440,5.0000,-30.6220,-28.1610,0.1395,1,0,0	
441,5.0000,-30.1957,-28.7973,0.1377,1,0,0	
442,5.0000,-29.7749,-29.4310,0.1360,1,0,0	
443,5.0000,-29.3597,-30.0619,0.1343,1,0,0	
444,5.0000,-28.9499,-30.6901,0.1326,1,0,0	
445,5.0000,-28.5454,-31.3156,0.1309,1,0,0	
446,5.0000,-28.1462,-31.9385,0.1292,1,0,0	
447,5.0000,-27.7523,-32.5586,0.1276,1,0,0	
448,5.0000,-27.3635,-33.1760,0.1260,1,0,0	
449,5.0000,-26.9797,-33.7908,0.1244,1,0,0	
450,5.0000,-26.6011,-34.4028,0.1228,1,0,0	
451,5.0000,-26.2273,-35.0122,0.1213,1,0,0	
452,5.0000,-25.8585,-35.6189,0.1197,1,0,0	
453,5.0000,-25.4945,-36.2229,0.1182,1,0,0	
454,5.0000,-25.1353,-36.8243,0.1167,1,0,0	
455,5.0000,-24.7809,-37.4230,0.1152,1,0,0	
456,5.0000,-24.4310,-38.0190,0.1138,1,0,0	
